feature,anchor_mmdd,anchor_date,anchor_label,phase,coef,stderr,pvalue,r2,adj_r2,n,mean_hot_days_14d,sd_hot_days_14d
hot14_0522,0522,2001-05-22,May 22,flower,-0.09838513513513464,0.04675163723228864,0.036223583493319056,0.3786675922994609,0.29962884078985164,320,0.0875,0.4735975832353825
hot14_0529,0529,2001-05-29,May 29,flower,-0.07975062034739466,0.040100340818157436,0.047688705567672206,0.3776426539250294,0.2984735215621356,320,0.11875,0.5750494049921435
hot14_0605,0605,2001-06-05,Jun 05,flower,-0.06719867549668877,0.06584583029056758,0.3083413724062863,0.3712584658428201,0.29127721061434486,320,0.053125,0.38013722567623864
hot14_0612,0612,2001-06-12,Jun 12,flower,-0.04531435897435962,0.02582031978824952,0.08034338473180022,0.3757385802778911,0.2963272335994602,320,0.228125,0.9799668521679508
hot14_0619,0619,2001-06-19,Jun 19,flower,-0.012665551636053912,0.010295878963561687,0.2196597637455787,0.37230103149317717,0.29245239945697354,320,1.115625,2.3506964718613323
hot14_0626,0626,2001-06-26,Jun 26,flower,0.0023814316756179026,0.010379806327769673,0.8187009933127017,0.36906188793249106,0.2888012093655995,320,1.4875,2.5571523640890357
hot14_0703,0703,2001-07-03,Jul 03,fruit_set,0.04246894812379105,0.011837324202223238,0.00039294941687659273,0.3963981798910986,0.31961490948855287,320,1.325,2.4057142006163206
hot14_0710,0710,2001-07-10,Jul 10,fruit_set,0.02978457444177337,0.010043822550310427,0.0032798695730676167,0.3879630208677157,0.3101067267024782,320,1.95,2.928189657595012
hot14_0717,0717,2001-07-17,Jul 17,fruit_set,-0.0191663638428341,0.010867040067742133,0.07885892932472122,0.3758055804354846,0.2964027567452989,320,2.578125,3.2270636880950994
hot14_0724,0724,2001-07-24,Jul 24,fruit_set,-0.03691900533781277,0.00796067802120621,5.389854415897601e-06,0.41351720939016234,0.3389116247189462,320,3.425,3.8976723220122755
hot14_0731,0731,2001-07-31,Jul 31,fruit_set,-0.03855023301667044,0.010607966598348896,0.0003312305490707214,0.3970805489170002,0.3203840816414242,320,3.884375,3.8825717307622414
hot14_0807,0807,2001-08-07,Aug 07,fruit_set,-0.01661730854240143,0.007510016582214752,0.027717482747784395,0.37967630764794624,0.3007658732851408,320,4.434375,4.438581869532113
hot14_0814,0814,2001-08-14,Aug 14,fruit_set,-0.048275095341661245,0.007519248692477551,5.724964626051743e-10,0.4491726255620083,0.3791027122059387,320,4.596875,3.899600845661757
hot14_0821,0821,2001-08-21,Aug 21,fruit_set,-0.06297944167732689,0.009020457896827953,2.0768323818635114e-11,0.4616706496913099,0.39319059099479803,320,3.140625,3.1487032087117584
hot14_0828,0828,2001-08-28,Aug 28,fruit_set,-0.03396598735438559,0.00941467745508996,0.0003650356821599188,0.39669242235591395,0.3199465820902352,320,2.171875,3.167995754465823
hot14_0904,0904,2001-09-04,Sep 04,maturation,-0.04539540152723033,0.0169350218248333,0.00778091947294807,0.3845704016957404,0.30628253760049895,320,1.275,1.8819385723154336
hot14_0911,0911,2001-09-11,Sep 11,maturation,0.016839937106918057,0.020304332607115713,0.40759038077964277,0.37047467070321294,0.2903937100859538,320,0.403125,1.1515246469525457
hot14_0918,0918,2001-09-18,Sep 18,maturation,0.014079145728643164,0.04062382037329101,0.7291691914563184,0.369212258245161,0.2889707080572663,320,0.18125,0.5750494049921434
hot14_0925,0925,2001-09-25,Sep 25,maturation,-0.004807407407407677,0.06976601477767076,0.9451118454366084,0.36895512173505673,0.2886808616024138,320,0.05625,0.3405117852029045
