window_days,anchor_mmdd,anchor_date,anchor_label,phase,coef,stderr,pvalue,r2,adj_r2,mean_hot_days
7,0522,2001-05-22,May 22,flower,-0.09838513513513464,0.04675163723228864,0.036223583493319056,0.3786675922994609,0.29962884078985164,0.0875
7,0529,2001-05-29,May 29,flower,-0.08155405405405328,0.1331760186067469,0.5407794659816223,0.3697796464993993,0.2896102729092169,0.03125
7,0605,2001-06-05,Jun 05,flower,-0.08911875000000001,0.09047451049817319,0.3254580796786046,0.3711006908339425,0.29109936528631675,0.021875
7,0612,2001-06-12,Jun 12,flower,-0.05909409888357338,0.03218168006162665,0.06736732666021852,0.3763748618063656,0.29704445553438386,0.20625
7,0619,2001-06-19,Jun 19,flower,-0.010507744991359022,0.01295561592315807,0.418014420449748,0.37040797651224056,0.29031853182828526,0.909375
7,0626,2001-06-26,Jun 26,flower,0.04277290223248615,0.022346876945860017,0.05662302998409024,0.37700943041866164,0.2977597466556645,0.578125
7,0703,2001-07-03,Jul 03,fruit_set,0.05137370011660305,0.01551964300619343,0.0010530221860877843,0.39246798158045804,0.3151847566224951,0.746875
7,0710,2001-07-10,Jul 10,fruit_set,0.029029243353785417,0.018850912031694374,0.1246927272423002,0.3741885470092716,0.29458002295391394,1.203125
7,0717,2001-07-17,Jul 17,fruit_set,-0.04736474186809913,0.013717225634447338,0.000639295100743404,0.3944560922634591,0.3174257718446766,1.375
7,0724,2001-07-24,Jul 24,fruit_set,-0.049386346903930546,0.012492794062892772,9.748927648399785e-05,0.40196871893072705,0.3258940683353425,2.05
7,0731,2001-07-31,Jul 31,fruit_set,-0.005831961494125386,0.0145774541927293,0.6894088187071745,0.36930123253863734,0.2890710006354251,1.834375
7,0807,2001-08-07,Aug 07,fruit_set,-0.03270568553936674,0.010998167985100345,0.003195321158528754,0.38806611852612727,0.3102229392573661,2.6
7,0814,2001-08-14,Aug 14,fruit_set,-0.07248380927915969,0.011466306364686575,1.0052957832445157e-09,0.4470268274563639,0.3766839503836752,1.996875
7,0821,2001-08-21,Aug 21,fruit_set,-0.05573818073010156,0.017424416764704537,0.001536496565158435,0.3909658997661234,0.313491597262874,1.14375
7,0828,2001-08-28,Aug 28,fruit_set,-0.05799501385041569,0.017166156680250934,0.0008312719755422891,0.39340948478376836,0.31624602701774596,1.028125
7,0904,2001-09-04,Sep 04,maturation,0.03677733118971101,0.032429079290876406,0.2577186438793602,0.37179951353446317,0.29188708416075526,0.246875
7,0911,2001-09-11,Sep 11,maturation,0.010803324099723434,0.04265909493600733,0.8002605603948852,0.36908751353154845,0.28883009475817656,0.15625
7,0918,2001-09-18,Sep 18,maturation,0.04482894736842158,0.13147205529246422,0.733373899051406,0.36920368488437527,0.2889610440922816,0.025
7,0925,2001-09-25,Sep 25,maturation,-0.021004464285714855,0.07658570659592889,0.784084221572927,0.36911221858920107,0.28885794250867536,0.03125
14,0522,2001-05-22,May 22,flower,-0.09838513513513464,0.04675163723228864,0.036223583493319056,0.3786675922994609,0.29962884078985164,0.0875
14,0529,2001-05-29,May 29,flower,-0.07975062034739466,0.040100340818157436,0.047688705567672206,0.3776426539250294,0.2984735215621356,0.11875
14,0605,2001-06-05,Jun 05,flower,-0.06719867549668877,0.06584583029056758,0.3083413724062863,0.3712584658428201,0.29127721061434486,0.053125
14,0612,2001-06-12,Jun 12,flower,-0.04531435897435962,0.02582031978824952,0.08034338473180022,0.3757385802778911,0.2963272335994602,0.228125
14,0619,2001-06-19,Jun 19,flower,-0.012665551636053912,0.010295878963561687,0.2196597637455787,0.37230103149317717,0.29245239945697354,1.115625
14,0626,2001-06-26,Jun 26,flower,0.0023814316756179026,0.010379806327769673,0.8187009933127017,0.36906188793249106,0.2888012093655995,1.4875
14,0703,2001-07-03,Jul 03,fruit_set,0.04246894812379105,0.011837324202223238,0.00039294941687659273,0.3963981798910986,0.31961490948855287,1.325
14,0710,2001-07-10,Jul 10,fruit_set,0.02978457444177337,0.010043822550310427,0.0032798695730676167,0.3879630208677157,0.3101067267024782,1.95
14,0717,2001-07-17,Jul 17,fruit_set,-0.0191663638428341,0.010867040067742133,0.07885892932472122,0.3758055804354846,0.2964027567452989,2.578125
14,0724,2001-07-24,Jul 24,fruit_set,-0.03691900533781277,0.00796067802120621,5.389854415897601e-06,0.41351720939016234,0.3389116247189462,3.425
14,0731,2001-07-31,Jul 31,fruit_set,-0.03855023301667044,0.010607966598348896,0.0003312305490707214,0.3970805489170002,0.3203840816414242,3.884375
14,0807,2001-08-07,Aug 07,fruit_set,-0.01661730854240143,0.007510016582214752,0.027717482747784395,0.37967630764794624,0.3007658732851408,4.434375
14,0814,2001-08-14,Aug 14,fruit_set,-0.048275095341661245,0.007519248692477551,5.724964626051743e-10,0.4491726255620083,0.3791027122059387,4.596875
14,0821,2001-08-21,Aug 21,fruit_set,-0.06297944167732689,0.009020457896827953,2.0768323818635114e-11,0.4616706496913099,0.39319059099479803,3.140625
14,0828,2001-08-28,Aug 28,fruit_set,-0.03396598735438559,0.00941467745508996,0.0003650356821599188,0.39669242235591395,0.3199465820902352,2.171875
14,0904,2001-09-04,Sep 04,maturation,-0.04539540152723033,0.0169350218248333,0.00778091947294807,0.3845704016957404,0.30628253760049895,1.275
14,0911,2001-09-11,Sep 11,maturation,0.016839937106918057,0.020304332607115713,0.40759038077964277,0.37047467070321294,0.2903937100859538,0.403125
14,0918,2001-09-18,Sep 18,maturation,0.014079145728643164,0.04062382037329101,0.7291691914563184,0.369212258245161,0.2889707080572663,0.18125
14,0925,2001-09-25,Sep 25,maturation,-0.004807407407407677,0.06976601477767076,0.9451118454366084,0.36895512173505673,0.2886808616024138,0.05625
21,0522,2001-05-22,May 22,flower,-0.09838513513513464,0.04675163723228864,0.036223583493319056,0.3786675922994609,0.29962884078985164,0.0875
21,0529,2001-05-29,May 29,flower,-0.07975062034739466,0.040100340818157436,0.047688705567672206,0.3776426539250294,0.2984735215621356,0.11875
21,0605,2001-06-05,Jun 05,flower,-0.053354619565217365,0.029710848901858253,0.07359362905421474,0.3760546072242824,0.2966834618535198,0.140625
21,0612,2001-06-12,Jun 12,flower,-0.03763875598086165,0.022781443189894526,0.09960947589563006,0.3749731866335839,0.29546447539262644,0.259375
21,0619,2001-06-19,Jun 19,flower,-0.012661609033168758,0.009851877773104428,0.19977405884003185,0.37260632417797357,0.2927965279603306,1.1375
21,0626,2001-06-26,Jun 26,flower,-0.002819588273941841,0.009066642190298764,0.7560410838373747,0.3691601152132158,0.2889119319894552,1.69375
21,0703,2001-07-03,Jul 03,fruit_set,0.019403102913850178,0.009164050967055023,0.03510608134726876,0.3787851608327001,0.29976136503756656,2.234375
21,0710,2001-07-10,Jul 10,fruit_set,0.028780301856157958,0.008640987821251878,0.0009814025960162146,0.39274832808540894,0.31550076558037266,2.528125
21,0717,2001-07-17,Jul 17,fruit_set,0.0028772713113908296,0.008011527652404095,0.719757115645458,0.36923201820447304,0.2889929816509784,3.325
21,0724,2001-07-24,Jul 24,fruit_set,-0.02585012416224253,0.007333780111849924,0.0004940875020545673,0.3954839227538275,0.3185843510900034,4.628125
21,0731,2001-07-31,Jul 31,fruit_set,-0.035790022979701706,0.00764132801436067,4.378300359090765e-06,0.4143431932895483,0.33984268077514446,5.259375
21,0807,2001-08-07,Aug 07,fruit_set,-0.027031673616082247,0.006578248889842052,5.203363870760518e-05,0.40447792815640804,0.328722470254043,6.484375
21,0814,2001-08-14,Aug 14,fruit_set,-0.03322516686297981,0.0062527829829634824,2.1800033765943841e-07,0.4261933813360096,0.3532003132374101,6.43125
21,0821,2001-08-21,Aug 21,fruit_set,-0.05345946586555702,0.006917682365123941,1.9132473322791967e-13,0.4789095777792981,0.41262245693143496,5.740625
21,0828,2001-08-28,Aug 28,fruit_set,-0.04578260914142766,0.006818376251307147,1.0306632067989023e-10,0.45566454769379805,0.3864204618880621,4.16875
21,0904,2001-09-04,Sep 04,maturation,-0.03178788928913365,0.009607692651953242,0.001059012063504097,0.39244540989095167,0.3151593136226628,2.41875
21,0911,2001-09-11,Sep 11,maturation,-0.032517159467399956,0.014674359731173543,0.027492811770129747,0.3797071346226034,0.3008006217124045,1.43125
21,0918,2001-09-18,Sep 18,maturation,0.0178439849624047,0.02026300149177332,0.3792712797924794,0.3706690561062316,0.29061282296073454,0.428125
21,0925,2001-09-25,Sep 25,maturation,0.007113785557986883,0.03791659551994826,0.8513116001342894,0.369023015863452,0.28875739243972154,0.2125
